abira	great-grandchild
sur	move
suron	clamor
sutli	dairy
sutli	milk
sut	milk
suv	water
suyuqlik	liquid
suyuqlik	solution
suyuq	liquid
suyuq	thin
suyuq	watery
suzish	swim
suzish	swimming
suzma	curd
suz	swim
suzuvchi	swimmer
tahdid	threat
tahqir	insult
tahqirla	humiliate
tahqirla	insult
tahqirlash	humiliate
tahqirlash	insult
tahqir	mockery
tajang	irritable
tajang	nervy
tajovuz	aggression
tajovuz	attack
tajovuz	encroachment
tajovuzkor	aggressor
tajovuzkor	attacker
tajribaxona	laboratory
talantli	talented
talantsiz	untalented
talant	talent
talash	argue
talash	argument
talash	controversy
talash	dispute
talashish	argue
talashish	quarrel
talash	quarrel
taloq	repudiation
tamaddi	bite
tamaddi	snack
tamaki	tobacco
taʼm	flavour
taʼminlash	supply
taʼminla	supply
taʼminot	supplies
taʼmli	flavourful
taʼmli	tasty
taʼmsiz	flavourless
taʼmsiz	tasteless
taʼm	taste
tanaffus	break
tanaffus	interval
tank	tank
tanla	choose
tanlanish	selected
tanlan	selected
tanla	select
tanlash	choice
tanlash	choose
tanlash	select
tanlov	competition
tanlov	selection
taom	dish
taom	food
taom	meal
taomnoma	menu
taqdir	fate
taqdir	future
taqdir	lot
taʼqib	persecution
taʼqib	pursuit
taqsim	distribution
tarat	disperse
taratish	disperse
taratish	scatter
tarat	scatter
tarqat	disperse
tarqatish	disperse
tarqatish	scatter
tarqatish	spread
tarqat	scatter
tarqat	spread
tarvuz	water-melon
tashi	carry
tashilish	transfered
tashilish	transported
tashil	transfered
tashil	transported
tashish	carry
tashish	transport
tashi	transport
tashla	leave
tashlandi	abandoned
tashlandi	neglected
tashlandiq	garbage
tashlandiq	refuse
tashlash	leave
tashlash	stop
tashlash	throw
tashla	stop
tashla	throw
taʼsir	influence
taʼsirla	influence
taʼsirlash	influence
taʼsirli	influential
taslim	capitulate
tasodif	chance
tasodif	fate
tasodifiy	accidental
tasodifiy	casual
tatariston	tataristan
tatar	tatar
taxir	bitter
taxir	sharp
taxir	sour
tayoqla	beat
tayoqlash	beat
tayoq	stick
tayyoragoh	airport
teatr	theater
tegishlilik	belongings
tegish	portion
tegish	share
tehron	teheran
tekis	level
tekis	smooth
telba	abnormal
telba	crazy
telba	senseless
temperatura	temperature
terla	perspire
terlash	perspire
terlash	sweat
terla	sweat
termiz	termiz
ter	perspiration
terrorchilik	terrorism
terrorchi	terrorist
terror	terror
ter	sweat
texnika	art
texnika	skill
texnika	technique
tez	fast
tez	quick
tez	speedy
tikish	stitch
tik	stitch
tilak	wish
tim	roof
tinch	calm
tinchitish	soothe
tinchit	soothe
tinchlik	calmness
tinchlik	quietness
tinchliksevar	pacific
tinch	peaceful
tinch	quiet
tinchsizlanish	worry
tinchsizlan	worry
tinchsiz	restless
tinch-totuv	peaceful
tinim	quietness
tinim	relaxation
tinim	rest
tinimsiz	continuously
tinimsiz	incessantly
tiniq	clear
tiniqlik	clearness
tiniqlik	pureness
tiniq	limpid
tiniq	pure
tirik	alive
tirikchilik	livelihood
tirik	living
tirilish	revive
tiril	revive
tiriltirish	revive
tiriltir	revive
tirishqoq	assiduous
tirishqoq	diligent
tirishqoq	hardworking
tirishqoqlik	assiduity
tirishqoqlik	diligence
tishla	bite
tishlash	bite
titra	shake
titrash	shake
titratish	shake
titrat	shake
tiyish	restrain
tiy	restrain
tobla	cook
tobla	forge
tobla	heat
toblash	cook
toblash	forge
toblash	heat
togʻa	uncle
togʻavachcha	cousin
toʻgʻridan-toʻgʻri	directly
toʻgʻri	honest
toʻgʻrilik	correctness
toʻgʻrilik	rightness
toʻgʻri	sincere
toʻgʻri	straight
toʻgʻri	upright
tojikiston	tajikistan
tojik	tajik
tokio	tokyo
toʻkish	shed
toʻk	shed
toʻlalik	capacity
tole	fate
tole	fortune
tole	luck
toʻliq	ample
toʻliq	complete
toʻliq	full
toʻliq	sufficient
tomchi	drop
tomchila	dribble
tomchila	drip
tomchilash	dribble
tomchilash	drip
tomoq	food
tom	roof
toʻng	freeze
toʻngish	freeze
tonna	ton
toʻpalon	brawl
toʻpalon	noise
toʻpalon	row
toʻp	cannon
toʻpchi	gunner
top	consider
top	detect
top	discover
top	find
topil	discovered
topil	earned
topilish	discovered
topilish	earned
topish	consider
topish	detect
topish	discover
topish	earnings
topish	find
topish	gains
topish	think
toʻpponcha	pistol
toʻpponcha	revolver
top	think
toqatli	patient
toqat	patience
toqatsiz	impatient
toqatsizlik	impatience
toʻq	dark
toʻq	full
toʻqlik	satiety
toʻqnash	clash
toʻqnash	conflict
toʻqnashish	clash
toʻqnashish	conflict
toʻqnashuv	clash
toʻqnashuv	conflict
toʻq	replete
toʻq	rich
toraytirish	reduce
toraytir	reduce
torlik	narrowness
tor	narrow
tort	cake
tor	tight
tortinchoq	bashful
tortinchoqlik	shyness
tortinchoqlik	timidity
tortinchoq	shy
tortiq	gift
tortiq	present
tortish	debate
tortish	discuss
tortishish	debate
tortishish	discuss
tort	pie
toshish	overflow
toshkent	tashkent
tosh	overflow
toshqin	flood
toshqin	flooding
toshqin	swamping
toʻsqin	hindrance
toʻsqinlik	hindrance
toʻsqinlik	opposition
toʻsqin	obstacle
tot	flavour
totish	taste
toti	taste
totli	delicious
totli	flavourful
tot	taste
totuv	friendly
totuvlik	friendship
totuvlik	peace
totuv	peaceful
tovush	sound
tovush	voice
toʻxtash	stop
toʻxta	stop
toʻxtat	halt
toʻxtat	interrupt
toʻxtatish	halt
toʻxtatish	interrupt
toyish	slip
toʻymas	insatiable
toy	slip
toza	clean
toza	clear
tozalik	clarity
tozalik	cleanliness
tozalik	cleanness
trubka	pipe
tualet	toilets
tugʻ	bear
tugʻilish	birth
tugʻish	bear
tugʻishgan	relation
tugʻishgan	relative
tugʻma	hereditary
tugʻma	inborn
tugʻma	innate
tuhfa	gift
tuhfa	present
tullik	widowerhood
tullik	widowhood
tul	widow
tuplash	spit
tupla	spit
tupuk	spit
tupuk	spittle
tupurish	spit
tupur	spit
turar	dwelling
tur	dwell
turgʻizish	lift
turgʻiz	lift
turish	dwell
turish	stand
turish	stay
turkcha	turkish
turkiston	turkistan
turkiya	turkey
turkiy	turkish
turkmaniston	turkmenistan
turkman	turkmen
turk	turk
turmush	livelihood
turp	horse-radish
turp	radish
tur	stand
tur	stay
tus	color
tush	descend
tushir	drop
tushirish	drop
tushish	descend
tushlik	lunch
tus	hue
tus	shade
tut	mulberry
tuxum	egg
tuygʻu	feeling
tuygʻuli	sensitive
tuygʻu	sensation
tuygʻusiz	insensitive
tuynuk	chimney
tuzla	salt
tuzlash	salt
tuzliq	salt-cellar
tuzli	salted
tuzli	salty
tuz	salt
tuzuk	correct
tuzuk	good
tuzukla	correct
tuzuklash	correct
tuzuklik	correctness
tuzuklik	pleasantness
tuzuk	nice
tuzuk	pleasant
uch	fly
uchirish	launch
uchir	launch
uchish	flight
uchish	fly
uchqich	plane
ugra	noodles
ukraina	ukraine
ukrani	ukrainian
ulgʻay	grow
ulgʻayish	grow
ulkan	huge
ulkan	large
ulugʻ	famous
ulugʻ	great
ulugʻla	glorify
ulugʻlash	glorify
ulugʻlash	venerate
ulugʻla	venerate
ulugʻ	tremendous
ulugʻvor	imposing
ulugʻvor	majestic
ulush	allotment
ulush	part
ulush	share
umr	life
umr	life-span
unda	impel
unda	induce
undash	impel
undash	induce
un	flour
un	grow
unish	grow
universitet	university
un	sound
un	voice
uqubat	hardship
uqubat	suffering
ur	beat
urganch	urgench
urish	beat
urishqoq	bellicose
urishqoqlik	bellicosity
urishqoqlik	warmongering
urishqoq	warlike
urish	strike
ur	strike
ur-sur	fight
urugʻ-aymoq	relatives
urugʻdon	testicle
urugʻ	seed
urush	war
urush	warfare
ushla	keep
ushlash	keep
ustalik	mastery
ustalik	skills
ustun	column
ustunlik	superiority
ustun	pillar
ustun	superior
ustuvor	firm
ustuvor	solid
ustuvor	unbreakable
uvla	howl
uvlash	howl
uvlash	wail
uvla	wail
uxlamaslik	wakefulness
uxlash	sleep
uxla	sleep
uy	apartment
uyatchang	bashful
uyatchanglik	shyness
uyatchanglik	timidity
uyatchang	shy
uyat	shame
uy	family
uy	flat
uygʻonish	awakening
uygʻoq	alert
uygʻoq	awake
uygʻoqlik	wakefulness
uygʻot	awake
uygʻotish	awake
uygʻur	uighur
uy	home
uy	house
uy-joy	house
uylantirish	marry
uylantir	marry
uyqusizlik	insomnia
uyqu	sleep
uyqu	sleepiness
uy-roʻzgʻor	household
uy-roʻzgʻorli	household
uzat	accompany
uzatish	accompany
uzatish	marry
uzatish	pass
uzat	marry
uzat	pass
uzay	extend
uzayish	extend
uzayish	lengthen
uzay	lengthen
uzaytir	extend
uzaytirish	extend
uzaytirish	lengthen
uzaytir	lengthen
uzil-kesil	categorical
uzil-kesil	definite
uzum	grapes
uzunlik	length
uzun	long
vaʼda	pledge
vaʼda	promise
vaʼda	word
vafo	promise
vafosiz	disloyal
vafosiz	unfaithful
vafot	death
vafot	decease
vahshat	barbarity
vahshat	brutality
vahshatli	barbarous
vahshatli	brutal
vahshatli	savage
vahshat	savageness
vahshiy	barbarous
vahshiy	brutal
vahshiy	cruel
vahshiylik	barbarous
vahshiylik	brutal
vahshiylik	savage
vahshiyona	barbarously
vahshiyona	brutally
vahshiyona	cruelly
vahshiyona	savagely
vahshiy	savage
vannaxona	bathroom
vashington	washington
vasiyatnoma	testament
vasiyat	testament
vasiyat	will
vaziyat	condition
vaziyat	position
vaziyat	situation
vazmin	heavy
vazn	weight
vegitarian	vegetarian
vijdon	conscience
vijdonsiz	conscienceless
vino	wine
v.int	decline
v.int	fade
v.int	go
voqea	event
voqea	incident
voris	heir
voris	successor
voya	maturity
v.t	cause
v.t	copy
v.t	provoke
xalal	hinder
xalal	interfere
xalal	spoil
xalaqit	hindrance
xalaqit	trouble
xaloskor	liberator
xaloskor	saviour
xamir	dough
xamir	pastry
xanjar	dagger
xantal	mustard
xarakter	character
xaroba	ruins
xarxasha	caprice
xarxasha	nagging
xarxasha	whim
xasislik	avarice
xasislik	miserliness
xasislik	stinginess
xasis	mean
xasis	miserly
xasis	stingy
xatti-harakat	behaviour
xatti-harakat	conduct
xazinachi	treasurer
xazina	treasure
xira	dark
xira	dim
xira	dull
xiralan	darken
xiralanish	darken
xitoycha	chinese
xitoy	china
xitoyi	chinese
xitoylik	chinese
xiva	khiva
xiyobon	avenue
xiyonat	betrayal
xiyonatchi	traitor
xiyonatkorlik	betrayal
xiyonatkorona	perfidious
xiyonatkorona	treacherous
xiyonat	treachery
xohish	aspiration
xohish	wish
xohlamasdan	reluctantly
xohlovchi	volunteer
xoinlarcha	treacherously
xoinlik	betrayal
xoin	renegade
xoin	traitor
xoʻjand	khojand
xoʻjayin	husband
xoʻjayin	master
xoʻjayin	owner
xola	aunt
xolavachcha	cousin
xolis	impartial
xolislik	impartiality
xolislik	neutrality
xolis	neutral
xolisona	impartial
xol-xol	dotted
xol-xol	spotted
xom	raw
xom	uncooked
xom-xata	under-cooked
xona	bedroom
xonadon	apartment
xonadon	family
xonadon	flat
xonaki	hand-made
xonaki	home-made
xonaqoh	monastery
xona	room
xorazm	khorezm
xor	humble
xor	poor
xor	ruined
xor-zor	humble
xor-zorlik	poverty
xor-zorlik	ruine
xor-zor	poor
xor-zor	ruined
xotinli	married
xotinsiz	unmarried
xotin	woman
xotirjam	calm
xotirjamlik	calmness
xotirjamlik	serenity
xotirjam	serene
xudbin	egoist
xudbinlik	egoism
xudbinlik	selfishness
xudbin	selfish
xulosa	conclusion
xulosa	result
xulosa	summary
xulq	character
xulq	disposition
xulq	temper
xunuklik	ugliness
xunuk	ugly
xurmo	date
xurmo	date-palm
xurrak	snore
xurrak	snoring
xushboʻy	aromatic
xushboʻy	fragrant
xushfeʼl	gentle
xushfeʼl	kind
xushfeʼllik	gentleness
xushfeʼllik	kindness
xushfeʼllik	mildness
xushfeʼl	mild
xushmuomala	courteous
xushmuomalalik	courtesy
xushmuomalalik	politeness
xushmuomalalik	solicitude
xushmuomala	polite
xushmuomala	solicitous
xushyoqmas	idle
xushyoqmas	lazy
xusumat	enmity
xusumat	hatred
xusumat	hostility
xusumatli	hostile
xususiylashtirish	privatization
xususiylashtirish	privatize
xususiylashtir	privatize
yakdillik	unanimity
yakdil	unanimous
yakun	assessment
yakunla	assess
yakunlash	assess
yakunlash	totalize
yakunla	totalize
yakunlovchi	conclusion
yakunlovchi	final
yakun	result
yakun	total
yalpiz	mint
yalqov	idle
yalqov	lazy
yalqovlik	idleness
yalqovlik	laziness
yanga	sister-in-law
yaponcha	japanese
yaponiya	japan
yapon	japanese
yaramas	improper
yaramas	low
yaramas	mediocre
yaramas	poor
yaramas	unsuitable
yaramas	useless
yaramas	vile
yarash	armistice
yarashish	reconcile
yarash	reconcile
yarash	truce
yarogʻ	arms
yarogʻ	weapons
yaroqli	suitable
yaroqli	well-suited
yaroqsiz	unsuitable
yaroqsiz	useless
yasha	live
yashash	existence
yashash	life
yashash	live
yashil	green
yashna	bloom
yashna	flourish
yashnash	bloom
yashnash	blooming
yashnash	flourish
yashovchi	dweller
yashovchi	inhabitant
yasmiq	lentil
yaxshi	fine
yaxshi!	good!
yaxshi	good
yaxshi	kind
yaxshila	improve
yaxshilan	improve
yaxshilanish	improve
yaxshilash	improve
yaxshilikcha	willingly
yaxshilik	good
yaxshilik	goodness
yaxshilik	kindness
yaxshi	nice
yaxshi!	right!
yaxshi	well
ye	eat
yem	fodder
yem	food
yem-xashak	hay
yeng	defeat
yengil	conquered
yengilish	conquered
yengillashtirish	lighten
yengillashtir	lighten
yengil	light
yengilmas	invincible
yengilmaslik	invincibility
yengish	defeat
yengish	win
yeng	win
yer-mulk	property
yertoʻla	cellar
yesh	eat
yesir	widow
yetim	orphan
yetkaz	convey
yetkaz	deliver
yetkazish	convey
yetkazish	deliver
yetkazish	transmit
yetkaz	transmit
yevropa	europe
yevropalik	european
yigʻla	cry
yigʻlash	cry
yigʻlash	sob
yigʻlash	weep
yigʻla	sob
yigʻla	weep
yirik	big
yirik	bulky
yirik	large
yirik	prominent
yirtqich	ferocious
yirtqichlik	ferocity
yirtqichlik	predation
yirtqich	predatory
yodgorlik	monument
yogʻ	fat
yogʻ	grease
yogʻla	grease
yogʻla	oil
yogʻlash	grease
yogʻlash	oil
yogʻli	fat
yogʻli	greasy
yogʻli	oily
yogʻ	oil
yoʻgʻon	big
yoʻgʻon	fat
yoʻgʻonlashish	stouter
yoʻgʻonlash	stouter
yoʻgʻonlik	fatness
yoʻgʻonlik	stoutness
yoʻgʻonlik	thickness
yoʻgʻon	stout
yoʻgʻon	thick
yoʻlak	corridor
yoʻlak	passage
yoʻl-yoʻl	striped
yomon	bad
yomon	evil
yomonla	denigrate
yomonlash	denigrate
yomon	wicked
yoʻnalish	direction
yoʻnalish	trend
yoʻnaltir	guide
yoʻnaltirish	guide
yoʻnaltirish	steer
yoʻnaltir	steer
yongʻoq	nut
yongʻoq	walnut
yopish	prepare
yop	prepare
yoʻq	absent
yoqalash	fight
yoqalashish	fight
yoʻqchilik	destitution
yoʻqchilik	poverty
yoʻqlik	absence
yoʻqlik	non-existence
yoʻq	non-existent
yoʻqol	disappear
yoʻqolish	disappear
yoʻqotish	lose
yoʻqotish	loss
yoʻqot	lose
yorit	brighten
yorit	illuminate
yoritish	brighten
yoritish	illuminate
yoritish	lighting
yorqin	bright
yorqin	light
yorugʻ	light
yorugʻlik	light
yorugʻlik	luminosity
yorugʻ	shine
yoshlik	youth
yosh	tear
yosh	young
yotiq	fallen
yotiq	horizontal
yotish	lie
yot	lie
yotoq	dormitory
yotoq	lodging
yotoqxona	bedroom
yotoqxona	dormitory
yov	enemy
yov	foe
yovon	countryside
yovuz	evil
yovuz	ferocious
yovuzlarcha	ferociously
yovuzlarcha	fiercely
yovuzlik	evil
yugurish	race
yugurish	run
yugurish	running
yugur	run
yuksal	ascend
yuksalish	ascend
yuksalish	development
yuksalish	elevation
yuksalish	rise
yuksal	rise
yuksaltirish	raise
yuksaltir	raise
yumala	roll
yumalash	roll
yumalatish	roll
yumalat	roll
yumaloq	circular
yumaloq	round
yum	close
yumish	close
yumish	shut
yumshatish	soften
yumshat	soften
yumshoqlik	mildness
yumshoqlik	softness
yumshoq	mild
yumshoq	soft
yum	shut
yupqalik	thinness
yupqa	thin
yurak	courage
yurakli	audacious
yurakli	bold
yuraksiz	coward
yuraksiz	timid
yurgiz	drive
yurgizish	drive
yurgizuvchi	driver
yurgizuvchi	operator
yurish	drive
yurish	ride
yurish	stroll
yurish	walk
yur	stroll
yur	walk
yutish	swallow
yutish	win
yutqiziq	failure
yutqiziq	loss
yutqizish	lose
yutqiz	lose
yut	swallow
yutum	mouthful
yut	win
zabt	conquest
zafarli	victorious
zafar	victory
zal	hall
zal	room
zambarak	cannon
zangori	turquoise
zarafshon	zarafshan
zarb	blow
zarb	strike
zarurat	necessity
zarurat	need
zarur	essential
zaruriyat	necessity
zaruriyat	need
zarurlik	necessity
zarur	necessary
zavod	factory
zax	damp
zaytun	olive
zero	because
zero	since
zidlik	conflict
zidlik	contradiction
zidlik	opposition
zilol	clear
zilol	limpid
zilol	pure
zinapoya	stairs
zina	stairs
zina	step
ziqnalik	avarice
ziqnalik	miserliness
ziqnalik	stinginess
ziqna	mean
ziqna	miserly
ziqna	stingy
zira	caraway
ziravor	spice
zirqira	ache
zirqira	hurt
zirqirash	ache
zirqirash	hurt
ziyofat	banquet
zoopark	zoo
zoʻrla	compel
zoʻrla	force
zoʻrlash	compel
zoʻrlash	force
zotdor	purebred
zot	genus
zot	lineage
zot	race
zulmat	obscurity
zulm	oppression
zulm	yoke
